centroid_name,lon,lat,GEOID
centroid_377,-111.930969,40.511697,49035114602
centroid_378,-111.931051,40.754179,49035102701
centroid_379,-111.931138,41.046136,49011126101
centroid_380,-111.93148,41.096188,49011125804
centroid_381,-111.932342,40.761639,49035102702
centroid_382,-111.93295,40.799939,49035114700
centroid_383,-111.933313,40.675933,49035113511
centroid_384,-111.934071,40.623527,49035112914
centroid_385,-111.934084,40.592789,49035112918
centroid_386,-111.934301,40.711598,49035113311
centroid_387,-111.9393,41.227183,49057200700
centroid_388,-111.939733,40.792705,49035100308
centroid_389,-111.940056,40.641576,49035113533
centroid_390,-111.940642,41.173851,49057202000
centroid_391,-111.940766,41.217122,49057201400
centroid_392,-111.941215,41.083909,49011125907
centroid_393,-111.941272,41.056129,49011125906
centroid_394,-111.941333,41.199064,49057201500
centroid_395,-111.942532,41.247578,49057200600
centroid_396,-111.942826,40.571728,49035113010
centroid_397,-111.94356,40.777338,49035100306
centroid_398,-111.943652,40.55176,49035113011
centroid_399,-111.943836,40.686598,49035113313
centroid_400,-111.9439,40.621723,49035112907
centroid_401,-111.944043,40.590137,49035112920
centroid_402,-111.944538,41.122226,49011125103
centroid_403,-111.944691,40.706825,49035113312
centroid_404,-111.94496,41.068263,49011125905
centroid_405,-111.945068,40.79562,49035100307
centroid_406,-111.946263,40.656115,49035113513
centroid_407,-111.947187,40.692683,49035113314
centroid_408,-111.947479,40.675709,49035113510
centroid_409,-111.94759,41.019595,49011126106
centroid_410,-111.948048,40.530825,49035113014
centroid_411,-111.948176,40.512455,49035113017
centroid_412,-111.948691,41.661653,49005001300
centroid_413,-111.948758,41.154417,49057211202
centroid_414,-111.94913,41.310725,49057210201
centroid_415,-111.949585,41.260822,49057200100
centroid_416,-111.953392,41.225632,49057200800
centroid_417,-111.953453,41.197429,49057201600
centroid_418,-111.953459,41.855698,49005000301
centroid_419,-111.954802,41.318583,49057210201
centroid_420,-111.956877,41.296637,49057210204
centroid_421,-111.957299,40.616163,49035112913
centroid_422,-111.957363,41.211189,49057201302
centroid_423,-111.957765,40.632023,49035112905
centroid_424,-111.95837,41.242293,49057200500
centroid_425,-111.95845,40.60327,49035112917
centroid_426,-111.958641,41.2164,49057201301
centroid_427,-111.959008,41.176728,49057210900
centroid_428,-111.959194,41.282302,49057200204
centroid_429,-111.959583,40.660737,49035113522
centroid_430,-111.960089,40.355034,49049010120
centroid_431,-111.96022,40.690792,49035113310
centroid_432,-111.960315,40.372252,49049010121
centroid_433,-111.960869,40.488003,49035112826
centroid_434,-111.961602,41.272077,49057200203
centroid_435,-111.961721,40.675876,49035113520
centroid_436,-111.962521,40.645717,49035113532
centroid_437,-111.962649,40.588946,49035112921
centroid_438,-111.963274,41.204051,49057201700
centroid_439,-111.964209,41.226269,49057200900
centroid_440,-111.964559,40.700084,49035113308
centroid_441,-111.965115,41.2587,49057200202
centroid_442,-111.965807,40.551035,49035113024
centroid_443,-111.965989,40.708888,49035113307
