centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
-111.975796_40.631238,centroid_461,68.23,9.16,1.69,1.12,19.8
-111.975978_40.544886,centroid_462,63.1,10.71,2.12,1.28,22.79
-111.976022_40.660124,centroid_463,69.21,8.59,1.46,0.85,19.9
-111.977644_40.646834,centroid_464,69.42,8.94,1.48,0.94,19.22
-111.978806_41.179923,centroid_465,62.66,10.55,0.24,1.63,24.91
-111.979543_41.258746,centroid_466,56.85,11.44,0.24,2.17,29.29
-111.980286_41.169234,centroid_467,63.2,10.36,0.3,1.52,24.62
-111.980431_41.284824,centroid_468,56.46,12.06,0.32,2.38,28.78
-111.981298_41.04229,centroid_469,66.09,9.66,0.27,1.6,22.38
-111.981719_41.099645,centroid_470,63.88,10.72,0.35,1.7,23.33
-111.982206_40.688298,centroid_471,72.06,7.96,1.24,0.68,18.05
-111.982771_40.674941,centroid_472,71.51,8.46,1.25,0.87,17.91
-111.983151_41.326667,centroid_473,55.2,12.11,0.31,2.45,29.93
-111.983191_40.357191,centroid_474,33.79,17.84,11.53,0.85,35.99
-111.984192_40.558121,centroid_475,63.7,10.43,2.09,1.3,22.47
-111.985378_41.114437,centroid_476,63.0,10.31,0.33,1.71,24.65
-111.985541_40.628845,centroid_477,68.4,9.14,1.53,1.15,19.78
-111.98624_41.299845,centroid_478,55.24,11.57,0.28,2.37,30.54
-111.987143_41.054503,centroid_479,65.47,9.38,0.28,1.67,23.2
-111.987762_40.584366,centroid_480,65.65,9.55,1.83,1.18,21.79
-111.988183_40.486484,centroid_481,57.54,12.26,3.18,1.15,25.87
-111.989418_41.940102,centroid_482,18.61,22.23,0.13,1.54,57.49
-111.989566_41.095744,centroid_483,65.48,9.81,0.25,1.59,22.87
-111.989971_41.260981,centroid_484,56.47,11.6,0.22,2.23,29.48
-111.990743_40.700582,centroid_485,72.49,7.86,1.0,0.62,18.03
-111.992476_40.643452,centroid_486,70.45,8.67,1.3,0.95,18.63
-111.993479_40.59462,centroid_487,66.1,9.56,1.75,1.16,21.42
-111.993725_40.363105,centroid_488,33.02,17.89,10.81,0.93,37.35
-111.99379_41.081887,centroid_489,65.63,9.75,0.28,1.62,22.73
-111.994723_40.660784,centroid_490,71.19,8.37,1.15,0.91,18.38
-111.995243_40.572848,centroid_491,65.86,9.71,1.82,1.29,21.32
-111.995718_40.674288,centroid_492,71.1,8.17,1.08,0.86,18.79
-111.995826_40.616686,centroid_493,68.35,9.3,1.51,1.15,19.69
-111.996017_40.556347,centroid_494,64.83,10.11,2.06,1.32,21.68
-111.996204_40.688709,centroid_495,72.0,7.92,1.05,0.71,18.32
-111.99729_40.64703,centroid_496,70.76,8.55,1.25,1.0,18.43
-111.997813_41.188851,centroid_497,61.78,10.75,0.27,1.75,25.44
-111.998657_41.219744,centroid_498,57.86,11.4,0.23,1.82,28.69
-112.000428_41.31434,centroid_499,55.07,11.69,0.18,2.38,30.67
-112.000709_40.529665,centroid_500,61.92,10.49,2.16,1.29,24.14
-112.001492_40.541008,centroid_501,63.26,10.32,2.05,1.34,23.04
