,centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
534,-112.020384_41.076257,centroid_535,70.06,8.53,0.21,1.37,19.83
535,-112.023359_40.527993,centroid_536,64.45,10.24,1.81,1.33,22.16
536,-112.023602_41.521734,centroid_537,45.82,14.15,0.13,1.91,38.0
537,-112.024698_41.495513,centroid_538,45.74,14.47,0.13,1.99,37.67
538,-112.028804_40.565908,centroid_539,68.17,9.64,1.61,1.39,19.19
539,-112.030471_41.18391,centroid_540,64.73,10.44,0.29,1.57,22.97
540,-112.030958_41.081032,centroid_541,70.94,8.46,0.25,1.35,19.01
541,-112.031147_41.466594,centroid_542,51.9,12.81,0.19,1.94,33.16
542,-112.031495_41.140322,centroid_543,67.26,9.21,0.21,1.48,21.84
543,-112.032504_40.501352,centroid_544,62.17,11.07,2.13,1.19,23.44
544,-112.032898_40.64508,centroid_545,73.72,7.96,1.0,1.09,16.23
545,-112.033318_41.169763,centroid_546,66.19,9.93,0.23,1.47,22.17
546,-112.033448_41.093148,centroid_547,70.01,8.49,0.23,1.3,19.98
547,-112.034503_41.118399,centroid_548,69.87,8.69,0.2,1.42,19.82
548,-112.034807_40.628157,centroid_549,73.05,8.02,1.03,1.33,16.56
549,-112.035582_40.667654,centroid_550,73.84,7.74,0.92,0.93,16.56
550,-112.036508_40.68917,centroid_551,75.03,7.31,0.9,0.91,15.84
551,-112.037258_40.678028,centroid_552,74.59,7.5,0.9,0.89,16.11
552,-112.037353_41.072467,centroid_553,72.05,8.01,0.22,1.25,18.47
553,-112.038548_40.634744,centroid_554,72.83,7.91,0.94,1.4,16.91
554,-112.041071_41.31379,centroid_555,56.04,11.52,0.17,2.15,30.11
555,-112.043027_41.190524,centroid_556,65.42,9.87,0.18,1.56,22.98
556,-112.043257_40.61559,centroid_557,71.33,8.75,1.07,1.63,17.21
557,-112.043544_40.48659,centroid_558,58.67,11.7,2.77,1.4,25.45
558,-112.044004_41.224744,centroid_559,61.9,10.35,0.2,1.54,26.02
559,-112.04462_41.157065,centroid_560,65.98,9.95,0.22,1.4,22.45
560,-112.04464_40.416998,centroid_561,49.52,14.42,5.43,1.12,29.51
561,-112.044962_40.600452,centroid_562,69.9,9.26,1.19,1.72,17.94
562,-112.045491_41.132929,centroid_563,69.27,8.88,0.19,1.34,20.32
563,-112.045816_40.708437,centroid_564,74.94,6.64,0.46,0.85,17.12
564,-112.046692_40.700374,centroid_565,75.73,6.92,0.55,0.94,15.86
565,-112.046806_41.146064,centroid_566,67.78,9.14,0.2,1.36,21.52
566,-112.049536_41.16899,centroid_567,65.91,9.57,0.24,1.45,22.84
567,-112.053406_40.688611,centroid_568,74.91,7.05,0.67,1.04,16.33
568,-112.054229_41.117017,centroid_569,72.62,7.9,0.19,1.17,18.11
569,-112.054838_41.096721,centroid_570,73.76,7.38,0.12,1.13,17.6
570,-112.056705_41.075043,centroid_571,74.08,7.34,0.22,1.13,17.23
571,-112.057071_41.297894,centroid_572,59.25,10.78,0.17,1.83,27.97
572,-112.059323_41.084175,centroid_573,74.57,7.2,0.15,1.07,17.0
573,-112.060049_41.169206,centroid_574,66.5,9.77,0.2,1.49,22.05
574,-112.061717_41.261283,centroid_575,62.8,9.88,0.12,1.61,25.59
575,-112.062091_40.612222,centroid_576,71.14,8.96,1.02,1.88,17.01
576,-112.063742_41.070749,centroid_577,75.04,7.17,0.14,1.09,16.56
577,-112.06381_40.509627,centroid_578,58.88,11.9,1.86,1.17,26.2
578,-112.066518_41.183627,centroid_579,67.55,9.54,0.15,1.42,21.34
579,-112.07398_41.145399,centroid_580,72.94,7.68,0.18,1.13,18.06
580,-112.074928_41.158589,centroid_581,71.8,8.01,0.13,1.16,18.9
581,-112.075156_41.169796,centroid_582,70.09,8.75,0.24,1.28,19.64
582,-112.076139_40.690921,centroid_583,75.58,6.8,0.42,1.19,16.02
583,-112.077923_40.708853,centroid_584,75.71,6.64,0.35,0.92,16.38
584,-112.078284_41.202736,centroid_585,66.24,9.65,0.17,1.36,22.58
585,-112.078782_41.110175,centroid_586,76.83,6.48,0.15,0.96,15.58
586,-112.078848_40.700035,centroid_587,76.45,6.75,0.37,1.1,15.33
587,-112.086272_41.136578,centroid_588,75.99,6.89,0.15,0.99,15.98
588,-112.092658_41.171545,centroid_589,73.07,7.64,0.11,1.08,18.1
589,-112.098484_40.696911,centroid_590,76.51,6.59,0.33,1.28,15.29
590,-112.101679_40.709435,centroid_591,76.46,6.44,0.25,1.05,15.8
591,-112.1043_41.103239,centroid_592,79.67,5.7,0.09,0.76,13.77
592,-112.107403_41.287287,centroid_593,68.43,8.87,0.11,1.28,21.31
593,-112.123063_41.734328,centroid_594,22.45,20.98,0.08,1.26,55.23
594,-112.124018_41.174112,centroid_595,80.64,5.46,0.07,0.77,13.06
595,-112.155021_41.709816,centroid_596,20.87,21.11,0.11,1.45,56.45
596,-112.167066_41.621077,centroid_597,28.26,18.86,0.09,1.48,51.31
597,-112.181054_41.710585,centroid_598,22.1,21.24,0.08,1.7,54.88
598,-112.267332_40.622361,centroid_599,76.69,6.18,0.17,0.87,16.09
599,-112.278959_40.546065,centroid_600,76.83,5.89,0.21,1.03,16.04
600,-112.28466_40.556315,centroid_601,78.02,5.76,0.18,0.96,15.08
601,-112.286172_40.536135,centroid_602,76.5,6.24,0.23,1.16,15.87
602,-112.286607_40.526169,centroid_603,75.28,6.71,0.2,1.24,16.57
603,-112.289386_40.545078,centroid_604,77.6,5.77,0.19,1.08,15.36
604,-112.303612_40.627414,centroid_605,78.63,5.79,0.09,0.94,14.55
605,-112.307294_40.523776,centroid_606,76.68,6.18,0.24,1.28,15.61
606,-112.307624_40.54359,centroid_607,78.22,5.71,0.2,1.16,14.71
607,-112.308397_40.639212,centroid_608,80.16,5.68,0.08,0.91,13.17
608,-112.320972_40.516891,centroid_609,77.08,5.77,0.19,1.15,15.8
609,-112.332731_40.572103,centroid_610,80.38,5.01,0.04,0.91,13.66
610,-112.371582_40.420927,centroid_611,73.93,5.59,0.16,1.24,19.08
611,-112.406054_40.607924,centroid_612,79.84,5.05,0.01,1.02,14.09
612,-112.425961_41.80798,centroid_613,18.15,27.55,0.06,1.15,53.08
613,-112.460734_40.594616,centroid_614,81.43,4.54,0.0,0.86,13.17
614,-112.500689_40.850611,centroid_615,80.62,6.23,0.01,0.42,12.72
615,-113.660482_40.562716,centroid_616,0.1,1.68,0.0,0.0,98.21
