centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
-111.930969_40.511697,centroid_377,49.79,14.0,5.68,1.24,29.29
-111.931051_40.754179,centroid_378,65.28,9.97,1.47,1.0,22.28
-111.931138_41.046136,centroid_379,50.69,13.3,0.65,2.85,32.5
-111.93148_41.096188,centroid_380,57.7,12.2,0.52,2.15,27.43
-111.932342_40.761639,centroid_381,66.15,9.45,1.24,1.06,22.09
-111.93295_40.799939,centroid_382,70.22,8.39,1.0,1.07,19.32
-111.933313_40.675933,centroid_383,60.67,11.48,2.14,0.98,24.74
-111.934071_40.623527,centroid_384,57.36,12.45,2.43,1.22,26.54
-111.934084_40.592789,centroid_385,55.03,12.37,2.84,1.22,28.54
-111.934301_40.711598,centroid_386,61.8,11.01,1.84,0.84,24.52
-111.9393_41.227183,centroid_387,52.8,12.82,0.36,2.62,31.39
-111.939733_40.792705,centroid_388,69.19,8.75,0.94,1.03,20.09
-111.940056_40.641576,centroid_389,58.95,11.76,2.15,1.31,25.83
-111.940642_41.173851,centroid_390,53.86,12.88,0.45,2.39,30.42
-111.940766_41.217122,centroid_391,54.0,12.75,0.41,2.51,30.33
-111.941215_41.083909,centroid_392,57.23,12.36,0.42,2.05,27.94
-111.941272_41.056129,centroid_393,52.42,13.1,0.47,2.37,31.64
-111.941333_41.199064,centroid_394,55.83,12.71,0.46,2.56,28.44
-111.942532_41.247578,centroid_395,52.79,13.08,0.4,2.79,30.94
-111.942826_40.571728,centroid_396,54.0,13.22,3.08,1.43,28.25
-111.94356_40.777338,centroid_397,67.06,9.46,1.08,1.06,21.34
-111.943652_40.55176,centroid_398,52.71,13.12,3.16,1.4,29.61
-111.943836_40.686598,centroid_399,60.88,11.2,1.85,0.91,25.16
-111.9439_40.621723,centroid_400,57.28,11.96,2.43,1.23,27.09
-111.944043_40.590137,centroid_401,53.72,12.73,2.59,1.25,29.71
-111.944538_41.122226,centroid_402,58.02,12.2,0.37,2.04,27.38
-111.944691_40.706825,centroid_403,61.38,10.6,1.81,0.84,25.37
-111.94496_41.068263,centroid_404,55.25,12.8,0.42,2.27,29.25
-111.945068_40.79562,centroid_405,68.92,8.79,0.85,1.1,20.34
-111.946263_40.656115,centroid_406,59.41,11.9,2.1,1.12,25.48
-111.947187_40.692683,centroid_407,61.26,11.15,1.79,0.88,24.92
-111.947479_40.675709,centroid_408,60.96,11.28,1.93,1.0,24.83
-111.94759_41.019595,centroid_409,54.21,12.47,0.39,2.31,30.62
-111.948048_40.530825,centroid_410,51.42,13.71,3.44,1.46,29.97
-111.948176_40.512455,centroid_411,49.51,14.45,5.07,1.24,29.73
-111.948691_41.661653,centroid_412,27.13,20.56,0.19,1.96,50.16
-111.948758_41.154417,centroid_413,55.92,12.46,0.42,2.06,29.14
-111.94913_41.310725,centroid_414,50.64,13.46,0.31,2.79,32.79
-111.949585_41.260822,centroid_415,52.55,13.17,0.33,2.78,31.18
-111.953392_41.225632,centroid_416,55.72,11.88,0.33,2.27,29.8
-111.953453_41.197429,centroid_417,57.29,12.07,0.33,2.15,28.15
-111.953459_41.855698,centroid_418,17.53,23.23,0.1,1.63,57.5
-111.954802_41.318583,centroid_419,49.08,13.44,0.34,2.86,34.27
